submit_id,user_name,code,problem,lang,verdict,contest_id
62139749,.Heisenberg.,"#include <stdio.h>
#include <math.h>
int main(){
	int n;
	scanf(""%d"",&n);
	long long int x[n],y[n];	
	for(int i=0;i<n;i++){
		scanf(""%lld %lld"",&x[i],&y[i]);
	}
	for(int j=0;j<n;j++){
		if(x[j]-y[j]==1) {
			printf(""NO\n"");
			continue;
		}
		printf(""YES\n"");
	}
	return 0;
}",A - Prime Subtraction,GNU C11,OK,1238
72958371,123232,"
#include <stdio.h>
#include <string.h>
#include <stdlib.h>
#include <math.h>
int main()
{
	int k;
	long long x, y;
	scanf(""%d"", &k);
	while (k--)
	{
		scanf(""%lld %lld"", &x, &y);
		if (x - y == 1)
		{
			printf(""NO\n"");
		}
		else
		{
			printf(""YES\n"");
		}
	}
	return 0;
}
",A - Prime Subtraction,GNU C11,OK,1238
62145843,17211a05b4,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
int prime(int n)  
{  
    while (n % 2 == 0)  
    {  
        return 1; 
        n = n/2;  
    }  
    for (int i = 3; i <= sqrt(n); i = i + 2)  
    {  
        while (n % i == 0)  
        {  
            return 1;  
            n = n/i;  
        }  
    }  
    return 0;
}
int main()
{
      int t;
      scanf(""%d"",&t);
      while(t>0){
          int a,b;
          scanf(""%d%d"",&a,&b);
          int t1=a-b;
          int h=prime(t1);
          if(h==1)
              printf(""Yes\n"");
          else
              printf(""No\n"");
          t--;
      }
      return 0;
}",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
62145454,17211a05b4,"#include <stdio.h>
#include <string.h>
#include <math.h>
#include <stdlib.h>
int prime(int n)  
{  
    while (n % 2 == 0)  
    {  
        return 1; 
        n = n/2;  
    }  
    for (int i = 3; i <= sqrt(n); i = i + 2)  
    {  
        while (n % i == 0)  
        {  
            return 1;  
            n = n/i;  
        }  
    }  
    return 0;
}
int main()
{
      int t;
      scanf(""%d"",&t);
      while(t>0){
          int a,b;
          scanf(""%d%d"",&a,&b);
          int t1=a-b;
          int h=prime(t1);
          if(h==1)
              printf(""Yes"");
          else
              printf(""No"");
          t--;
      }
      return 0;
}",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
73592886,20193315,"#include<stdio.h>
int main()
{
    int x,y,t,i,c,j,temp;
    scanf(""%d"",&t);
    for(i=0;i<t;i++){
        scanf(""%d%d"",&x,&y);
        c=x-y;
        if(c<2){
            printf(""NO\n"");
        }
        else if(c==2){
            printf(""YES\n"");
        }
        else if(c>2&&c%2==0){
            printf(""YES\n"");
        }
        else if(c>2&&c%2!=0){
            for(j=1;j<=c;j=j+2){
                temp=c%j;
            }
                   if(temp==0){
                    printf(""YES\n"");
                }
                else if(temp!=0){
                    printf(""NO\n"");
                }
            }
        }
    return 0;
}
",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
73594430,20193315,"#include<stdio.h>
int main()
{
    int x,y,t,i,c,j,temp;
    scanf(""%d"",&t);
    for(i=0;i<t;i++){
        scanf(""%d%d"",&x,&y);
        c=x-y;
        if(c<2){
            printf(""NO\n"");
        }
        else if(c==2){
            printf(""YES\n"");
        }
        else if(c>2&&c%2==0){
            printf(""YES\n"");
        }
        for(j=1;j<=c;j=j+2){
                temp=c%j;
            }
         if(c>2&&c%2!=0){
                   if(temp=0){
                    printf(""YES\n"");
                }
                else{
                    printf(""NO\n"");
                }
            }
        }
    return 0;
}
",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
73598326,20193315,"#include<stdio.h>
int main()
{
    int x,y,t,i,c;
    scanf(""%d"",&t);
    for(i=0;i<t;i++){
        scanf(""%d%d"",&x,&y);
        c=x-y;
        if(c<2){
            printf(""NO\n"");
        }
        else{
            printf(""YES\n"");
        }
        }
    return 0;
}",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
73734540,20193315,"#include<stdio.h>
int main()
{
    int i,t,x,y,c,j,temp;
    scanf(""%d"",&t);
    for(i=0;i<t;i++){
        scanf(""%d%d"",&x,&y);
        c=x-y;
        if(c<2){
            printf(""NO\n"");
        }
        else {
            printf(""YES\n"");
        }
    }
    return 0;
}",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
73735193,20193315,"#include<stdio.h>
int main()
{
     long long int i,t,x,y,c;
    scanf(""%lld"",&t);
    for(i=0;i<t;i++){
        scanf(""%lld%lld"",&x,&y);
        c=x-y;
        if(c<2){
            printf(""NO\n"");
        }
        else {
            printf(""YES\n"");
        }
    }
    return 0;
}
",A - Prime Subtraction,GNU C11,OK,1238
64890523,ASHRAF1925,"#include<stdio.h>
int main()
{ int t,a[10000],i;
  long long int x,y,d;
  scanf(""%d"",&t);
  for(i=0;i<t;i++)
  {
  scanf(""%ld %ld"",&x,&y);
   d=x-y;
  if((d)==1)a[i]=0;
  else a[i]=1;
  }
  for(i=0;i<t;i++)
  {
  if(a[i]==1)printf(""\nYES"");
  else printf(""\nNo"");
  }
}
",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
