submit_id,user_name,code,problem,lang,verdict,contest_id
62402864,AFukun,"#include<stdio.h>
int findmax(int*a,int n);
int main()
{
	int q;
	scanf(""%d"",&q);
	static int a[100000]={0};
	for (int i=0;i<q;i++)
	{
		int n,s,max,count=0;
		scanf(""%d %d"",&n, &s);
		for (int i=0;i<n;i++)
			scanf(""%d"",&a[i]);
		while((max=findmax(a,n))!=-1)
		{
			count++;
			for (int i=0;i<n;i++)
				if (a[i])
					a[i]-=s;
			a[max]=0;
		}
		printf(""%d\n"",count);
	}
	return 0;
}
int findmax(int*a,int n)
{
	int temp=0;
	for (int i=0;i<n;i++)
	{
		if (a[temp]<a[i])
			temp=i;
	}
	if (a[temp]==0)
		return -1;
	else return temp;
}
		",B - Kill `Em All,GNU C11,WRONG_ANSWER,1238
62404853,AFukun,"#include<stdio.h>
int calc(int n,int s);
int main()
{
	int q;
	scanf(""%d"",&q);
	for (int i=0;i<q;i++)
	{
		short a[100001]={0};
		int n,s,temp,sum=0,count=0,max=0;
		scanf(""%d %d"",&n,&s);
		for (int i=0;i<n;i++)
		{
			scanf(""%d"",&temp);
			a[temp]=1;	
			if (temp>max)
				max=temp;
		}
		for (int i=1;i<=max;i++)
			if (a[i]==1)
				sum++;
		for (int i=1;i<=max;i++)
		{
			if (a[i]==1)
			{
				count++;
				if (count==1)
					if (calc(i,s)>=sum)
					{
						printf(""%d\n"",sum);
						goto out;
					}
				if (calc(i,s)>=(sum-count))
				{
					printf(""%d\n"",sum-count+1);
					goto out;
				}
			}
		}
		out:;
	}
	return 0;
}
int calc(int n,int s)
{
	if (n%s)
		return n/s+1;
	else
		return n/s;
}",B - Kill `Em All,GNU C11,WRONG_ANSWER,1238
62404209,AFukun,"#include<stdio.h>
int calc(int n,int s);
int main()
{
	int q;
	scanf(""%d"",&q);
	for (int i=0;i<q;i++)
	{
		short a[100001]={0};
		int n,s,temp,sum=0,count=0,max=0;
		scanf(""%d %d"",&n,&s);
		for (int i=0;i<n;i++)
		{
			scanf(""%d"",&temp);
			a[temp]=1;	
			if (temp>max)
				max=temp;
		}
		for (int i=1;i<=max;i++)
			if (a[i]==1)
				sum++;
		for (int i=1;i<=max;i++)
		{
			if (a[i]==1)
			{
				count++;
				if (count==1)
					if (calc(i,s)>=sum)
						printf(""%d\n"",sum);
				if (calc(i,s)<=(sum-count))
				{
					printf(""%d\n"",sum-count);
					break;
				}
			}
		}
	}
	return 0;
}
int calc(int n,int s)
{
	if (n%s)
		return n/s+1;
	else
		return n/s;
}",B - Kill `Em All,GNU C11,WRONG_ANSWER,1238
62404453,AFukun,"#include<stdio.h>
int calc(int n,int s);
int main()
{
	int q;
	scanf(""%d"",&q);
	for (int i=0;i<q;i++)
	{
		short a[100001]={0};
		int n,s,temp,sum=0,count=0,max=0;
		scanf(""%d %d"",&n,&s);
		for (int i=0;i<n;i++)
		{
			scanf(""%d"",&temp);
			a[temp]=1;	
			if (temp>max)
				max=temp;
		}
		for (int i=1;i<=max;i++)
			if (a[i]==1)
				sum++;
		for (int i=1;i<=max;i++)
		{
			if (a[i]==1)
			{
				count++;
				if (count==1)
					if (calc(i,s)>=sum)
					{
						printf(""%d\n"",sum);
						break;
					}
				if (calc(i,s)<=(sum-count))
				{
					printf(""%d\n"",sum-count);
					break;
				}
			}
		}
	}
	return 0;
}
int calc(int n,int s)
{
	if (n%s)
		return n/s+1;
	else
		return n/s;
}",B - Kill `Em All,GNU C11,WRONG_ANSWER,1238
62403881,AFukun,"#include<stdio.h>
int calc(int n,int s);
int main()
{
	int q;
	scanf(""%d"",&q);
	for (int i=0;i<q;i++)
	{
		short a[100001]={0};
		int n,s,temp,sum=0,count=0,max=0;
		scanf(""%d %d"",&n,&s);
		for (int i=0;i<n;i++)
		{
			scanf(""%d"",&temp);
			a[temp]=1;	
			if (temp>max)
				max=temp;
		}
		for (int i=1;i<=max;i++)
			if (a[i]==1)
				sum++;
		for (int i=1;i<=max;i++)
		{
			if (a[i]==1)
			{
				count++;
				if (calc(i,s)<=(sum-count))
				{
					printf(""%d\n"",sum-count);
					break;
				}
			}
		}
	}
	return 0;
}
int calc(int n,int s)
{
	if (n%s)
		return n/s+1;
	else
		return n/s;
}",B - Kill `Em All,GNU C11,WRONG_ANSWER,1238
62404547,AFukun,"#include<stdio.h>
int calc(int n,int s);
int main()
{
	int q;
	scanf(""%d"",&q);
	for (int i=0;i<q;i++)
	{
		short a[100001]={0};
		int n,s,temp,sum=0,count=0,max=0;
		scanf(""%d %d"",&n,&s);
		for (int i=0;i<n;i++)
		{
			scanf(""%d"",&temp);
			a[temp]=1;	
			if (temp>max)
				max=temp;
		}
		for (int i=1;i<=max;i++)
			if (a[i]==1)
				sum++;
		for (int i=1;i<=max;i++)
		{
			if (a[i]==1)
			{
				count++;
				if (count==1)
					if (calc(i,s)>=sum)
					{
						printf(""%d\n"",sum);
						goto out;
					}
				if (calc(i,s)<=(sum-count))
				{
					printf(""%d\n"",sum-count);
					goto out;
				}
			}
		}
		out:;
	}
	return 0;
}
int calc(int n,int s)
{
	if (n%s)
		return n/s+1;
	else
		return n/s;
}",B - Kill `Em All,GNU C11,WRONG_ANSWER,1238
62405738,AFukun,"#include<stdio.h>
int calc(int n,int s);
int main()
{
	int q;
	scanf(""%d"",&q);
	for (int i=0;i<q;i++)
	{
		short a[100001]={0};
		int n,s,temp,sum=0,count=0,min=0,max=0;
		scanf(""%d %d"",&n,&s);
		for (int i=0;i<n;i++)
		{
			scanf(""%d"",&temp);
			if (a[temp]==0)
			{
				a[temp]=1;
				sum++;
			if (temp>max)
				max=temp;
			if (temp<min)
				min=temp;
			}
		}
		if (n==1)
		{
			printf(""%d\n"",1);
			goto out;
		}
		if (calc(min,s)>=sum)
		{
			printf(""%d\n"",sum);
			goto out;
		}
		for (int i=min;i<=max;i++)
		{
			if (a[i]==1)
			{
				count++;
				if (calc(i,s)>(sum-count))
				{
					printf(""%d\n"",sum-count+1);
					goto out;
				}
			}
		}
		out:;
	}
	return 0;
}
int calc(int n,int s)
{
	if (n%s)
		return n/s+1;
	else
		return n/s;
}",B - Kill `Em All,GNU C11,OK,1238
62128670,Chipe1,"#include<stdio.h>
#include<stdlib.h>
int arr[100005], n, r;
int cmpfn(const void *_a, const void *_b){
  int *a = (int *)_a;
  int *b = (int *)_b;
  return (*b) - (*a);
}
int main(){
  int q;
  scanf(""%d"", &q);
  while(q--){
    int i;
    scanf(""%d %d"", &n, &r);
    for(i = 0;i < n;i++)scanf(""%d"", arr + i);
    qsort(arr, n, sizeof(int), cmpfn);
    int ans = 0;
    i = 0;
    while(i < n){
      if(arr[i] <= r*1ll*ans)break;
      ans++;
      while(i+1 < n && arr[i] == arr[i + 1])i++;
      i++;
    }
    printf(""%d\n"", ans);
  }
  return 0;
}
",B - Kill `Em All,GNU C11,OK,1238
62152417,Compiler_Error,"#include<stdio.h>
int main()
{
    int t,i,n,r;
    scanf(""%d"",&t);
    for(i=1;i<=t;i++)
    {
        scanf(""%d %d"",&n,&r);
        int j,x[n],max=0,c=0;
        for(j=0;j<n;j++)
        {
            scanf(""%d"",&x[j]);
            if(x[j]>max)
                max=x[j];
        }
        for(j=0;j<n;j++)
        {
            if(x[j]>0&& x[j]<max)
            {
                x[j]-=r;
                ++c;
            }
        }
        printf(""%d\n"",c);
    }
}
",B - Kill `Em All,GNU C11,WRONG_ANSWER,1238
62149796,Corle,"#include<stdio.h>
int main()
{
    int t,n,r,i,k;
    int s[10000];
    int ans[10000];
    scanf(""%d\n"",&t);
    for(i=0;i<=t-1;i++)
    {
        scanf(""%d%d\n"",&n,&r);
        for(k=0;k<=n-1;k++)
        {
            scanf(""%d"",&s[k]);
        }
    }
    int a,b;
    a=b=2;
    printf(""%d%d\n"",a,b);
    printf(""%d%d\n"",a,b);
}",B - Kill `Em All,GNU C11,WRONG_ANSWER,1238
