submit_id,user_name,code,problem,lang,verdict,contest_id
73592886,20193315,"#include<stdio.h>
int main()
{
    int x,y,t,i,c,j,temp;
    scanf(""%d"",&t);
    for(i=0;i<t;i++){
        scanf(""%d%d"",&x,&y);
        c=x-y;
        if(c<2){
            printf(""NO\n"");
        }
        else if(c==2){
            printf(""YES\n"");
        }
        else if(c>2&&c%2==0){
            printf(""YES\n"");
        }
        else if(c>2&&c%2!=0){
            for(j=1;j<=c;j=j+2){
                temp=c%j;
            }
                   if(temp==0){
                    printf(""YES\n"");
                }
                else if(temp!=0){
                    printf(""NO\n"");
                }
            }
        }
    return 0;
}
",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
73594430,20193315,"#include<stdio.h>
int main()
{
    int x,y,t,i,c,j,temp;
    scanf(""%d"",&t);
    for(i=0;i<t;i++){
        scanf(""%d%d"",&x,&y);
        c=x-y;
        if(c<2){
            printf(""NO\n"");
        }
        else if(c==2){
            printf(""YES\n"");
        }
        else if(c>2&&c%2==0){
            printf(""YES\n"");
        }
        for(j=1;j<=c;j=j+2){
                temp=c%j;
            }
         if(c>2&&c%2!=0){
                   if(temp=0){
                    printf(""YES\n"");
                }
                else{
                    printf(""NO\n"");
                }
            }
        }
    return 0;
}
",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
73598326,20193315,"#include<stdio.h>
int main()
{
    int x,y,t,i,c;
    scanf(""%d"",&t);
    for(i=0;i<t;i++){
        scanf(""%d%d"",&x,&y);
        c=x-y;
        if(c<2){
            printf(""NO\n"");
        }
        else{
            printf(""YES\n"");
        }
        }
    return 0;
}",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
73734540,20193315,"#include<stdio.h>
int main()
{
    int i,t,x,y,c,j,temp;
    scanf(""%d"",&t);
    for(i=0;i<t;i++){
        scanf(""%d%d"",&x,&y);
        c=x-y;
        if(c<2){
            printf(""NO\n"");
        }
        else {
            printf(""YES\n"");
        }
    }
    return 0;
}",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
73735193,20193315,"#include<stdio.h>
int main()
{
     long long int i,t,x,y,c;
    scanf(""%lld"",&t);
    for(i=0;i<t;i++){
        scanf(""%lld%lld"",&x,&y);
        c=x-y;
        if(c<2){
            printf(""NO\n"");
        }
        else {
            printf(""YES\n"");
        }
    }
    return 0;
}
",A - Prime Subtraction,GNU C11,OK,1238
64890523,ASHRAF1925,"#include<stdio.h>
int main()
{ int t,a[10000],i;
  long long int x,y,d;
  scanf(""%d"",&t);
  for(i=0;i<t;i++)
  {
  scanf(""%ld %ld"",&x,&y);
   d=x-y;
  if((d)==1)a[i]=0;
  else a[i]=1;
  }
  for(i=0;i<t;i++)
  {
  if(a[i]==1)printf(""\nYES"");
  else printf(""\nNo"");
  }
}
",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
64891008,ASHRAF1925,"#include<stdio.h>
int main()
{ int t,a[10000],i;
  long long int x,y,d;
  scanf(""%d"",&t);
  for(i=0;i<t;i++)
  {
  scanf(""%I64d %I64d"",&x,&y);
   d=x-y;
  if((d)==1)a[i]=0;
  else a[i]=1;
  }
  for(i=0;i<t;i++)
  {
  if(a[i]==1)printf(""\nYES"");
  else printf(""\nNo"");
  }
}
",A - Prime Subtraction,GNU C11,OK,1238
71032000,AbdelrhmanAbdelnasser,"#include <stdio.h>
#include <stdlib.h>
#include <string.h>
int main()
{
    long long x,y,z=0,a=0,k=0;
    int count=0,c,temp=0;
    scanf(""%d"",&c);
    for(int p=1;p<=c;p++){
    scanf(""%lld%lld"",&x,&y);
    z=0;a=0;k=0;temp=0;count=0;
    if(x>y){
    z=x-y;
    if(z==1){printf(""NO\n"");break;}
    for(long long i=1;i<z;i++)
    {
        for(long long r=1;r<=i;r++)
        {
            if(i%r==0) {count++;}
        }
        if(count!=0)
        {
            a=z%i;
            k++;
            if(a==0){printf(""YES\n"");break;}
        }
    }
    if(k==0){printf(""NO\n"");}}
    else if(y>x)
    {
        temp=y;
        y=x;x=temp;
        z=x-y;
    if(z==1){printf(""NO\n"");break;}
    for(long long i=1;i<z;i++)
    {
        for(long long r=1;r<=i;r++)
        {
            if(i%r==0) {count++;}
        }
        if(count!=0)
        {
            a=z%i;
            k++;
            if(a==0){printf(""YES\n"");break;}
        }
    }
    if(k==0){printf(""NO\n""); break;}
    }
    else break;
    }
}
",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
71032475,AbdelrhmanAbdelnasser,"#include <stdio.h>
#include <stdlib.h>
#include <string.h>
int main()
{
    long long x,y,z=0,a=0,k=0;
    int count=0,c,temp=0,m=0;
    scanf(""%d"",&c);
    for(int p=1;p<=c;p++){
    scanf(""%lld%lld"",&x,&y);
    z=0;a=0;k=0;temp=0;count=0;m=0;
    if(x>y){
    z=x-y;
    if(z==1){printf(""NO\n"");m++;}
    if(m==0){
    for(long long i=1;i<z;i++)
    {
        for(long long r=1;r<=i;r++)
        {
            if(i%r==0) {count++;}
        }
        if(count!=0)
        {
            a=z%i;
            k++;
            if(a==0){printf(""YES\n"");break;}
        }
    }
    if(k==0){printf(""NO\n"");}}}
    else if(y>x)
    {
        temp=y;
        y=x;x=temp;
        z=x-y;
    if(z==1){printf(""NO\n"");m++;}
    if(m==0){
    for(long long i=1;i<z;i++)
    {
        for(long long r=1;r<=i;r++)
        {
            if(i%r==0) {count++;}
        }
        if(count!=0)
        {
            a=z%i;
            k++;
            if(a==0){printf(""YES\n"");break;}
        }
    }
    if(k==0){printf(""NO\n""); break;}
    }}
    }
}
",A - Prime Subtraction,GNU C11,OK,1238
62428360,Apha_shank,"#include<stdio.h>
#include<math.h>
long int main()
{
   long int n,a,b,z;
   scanf(""%ld"",&n);
   for(long int i=0;i<n;i++)
   {  
      scanf(""%ld %ld"",&a,&b);
      z=(a-b);
      if(z==1)
      {
         printf(""NO\n"");
      }
      else
      {
          printf(""YES\n"");
      }  
   }
}
 ",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
