submit_id,user_name,code,problem,lang,verdict,contest_id
83305134,Greninja_TMC,"#include<stdio.h>
int main()
{
    int n,i;
    long long int x,y;
    scanf(""%d"",&n);
    for(i=0; i<n; i++)
    {
        scanf(""%lld %lld"",&x,&y);
        if((x-y)>=2)
            printf(""YES\n"");
        else printf(""NO\n"");
    }
}
",A - Prime Subtraction,GNU C11,OK,1238
83162343,Himelcse005,"#include<stdio.h>

int main()
{
    long long int t, x, y, i, j, sub, c, r, r2;
    
    scanf(""%lld"", &t);
    while(t--)
    {
        scanf(""%lld%lld"", &x, &y);
        sub=x-y;
        if(sub==1)
            printf(""NO\n"");
        else
        {
            r=sqrt(sub);
            c=0;
            for(i=2;i<=r;i++)
            {
                if(sub%i==0);
                {
                    r2=sqrt(i);
                    c=0;
                    for(j=2;j<=r2;j++)
                    {
                        if(i%j==0)
                        {
                            c++;
                            break;
                        }
                    }
                    if(c==0)
                        break;
                }
            }
            if(c==0)
                printf(""YES\n"");
            else
                printf(""NO\n"");
        }
    }
    return 0;
}",A - Prime Subtraction,GNU C11,OK,1238
82746647,Himelcse005,"#include<stdio.h>

int main()
{
    long long int t, x, y, sub, i, j, r2, c2, c;
    double r;
    scanf(""%lld"", &t);
    while(t--)
    {
        scanf(""%lld%lld"", &x, &y);
        sub=x-y;
        
        if(sub==1)
            printf(""NO\n"");
        else
        {
            r=sqrt(sub);
            
            c2=0;
            for(i=2;i<=r;i++)
            {    
                c=0;
                if(sub%i==0)
                {
                    r2=sqrt(i);
                    for(j=2;j<=r2;j++)
                    {
                        if(i%j==0)
                        {
                             c++;
                            break; 
                        }
                    }
                    if(c!=0)
                    {
                        c=0;
                        break;
                    } 
                    else
                    {
                        c++;
                    }
                }
            }
            if(c==0)
                printf(""YES\n"");
            else
                printf(""NO\n"");
        }
    }
    return 0;
}",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
82723198,Himelcse005,"#include<stdio.h>

int main()
{
    long long int t, x, y, c, r, sub, i;
    
    scanf(""%lld"", &t);
    while(t--)
    {
        scanf(""%lld%lld"", &x, &y);
        sub=x-y;
        r=sqrt(sub);
        c=0;
        for(i=2;i<=r;i++)
        {
            if(sub%i==0)
            {
                c++;
                break;
            }
        }
        if(c==0 && sub!=1)
            printf(""YES\n"");
        else
        {
            c=0;
            for(i=2;i<=11;i++)
            {   
                if(sub%i==0)
                {
                    c++;
                    break;
                }
                if(i==3 || i==5)
                    i++;
                if(i==7)
                    i=10;
                if(c!=0)
                    break;
            
            }
           if(c!=0)
                printf(""YES\n"");
            else
                printf(""NO\n"");
      } 
    }
    return 0;
}",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
82722352,Himelcse005,"#include<stdio.h>

int main()
{
    long long int t, x, y, c, sub, i;
    
    scanf(""%lld"", &t);
    while(t--)
    {
        scanf(""%lld%lld"", &x, &y);
        sub=x-y;
        
        c=0;
        if(sub==1)
            printf(""NO\n"");
        else
        {
            for(i=2;i<=11;i++)
            {   
                if(sub%i==0)
                {
                    c++;
                    break;
                }
                if(i==3 || i==5)
                    i++;
                if(i==7)
                    i=10;
                if(c!=0)
                    break;
            
            }
            if(c!=0)
                printf(""YES\n"");
            else
                printf(""NO\n"");
       }    
    }
    return 0;
}",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
82721694,Himelcse005,"#include<stdio.h>

int main()
{
    long long int t, x, y, c, sub, i;
    
    scanf(""%lld"", &t);
    while(t--)
    {
        scanf(""%lld%lld"", &x, &y);
        sub=x-y;
        
        c=0;
        if(sub==1)
            printf(""NO\n"");
        else
        {
            for(i=2;i<=7;i++)
            {   
                if(sub%i==0)
                {
                    c++;
                    break;
                }
                if(i==3 || i==5)
                    i++;
                if(c!=0)
                    break;
            
            }
            if(c!=0)
                printf(""YES\n"");
            else
                printf(""NO\n"");
       }    
    }
    return 0;
}",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
82721595,Himelcse005,"#include<stdio.h>

int main()
{
    long long int t, x, y, c, sub, i;
    
    scanf(""%lld"", &t);
    while(t--)
    {
        scanf(""%lld%lld"", &x, &y);
        sub=x-y;
        
        c=0;
        if(sub==1)
            printf(""NO\n"");
        else
        {
            for(i=2;i<=7;i++)
            {    printf(""%lld "", i);
                if(sub%i==0)
                {
                    c++;
                    break;
                }
                if(i==3 || i==5)
                    i++;
                if(c!=0)
                    break;
            
            }
            if(c!=0)
                printf(""YES\n"");
            else
                printf(""NO\n"");
       }    
    }
    return 0;
}",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
82710379,Irteja,"#include<stdio.h>


#include<string.h>
int main()
{
    long long int ch[100000];
    char arr[1000000];
    char kh[1000000],bh,ag;
    int cp[400];
    long long int a=0,b,c,d,e=0,g,i=0,tep=0,temp=0,j=0,k=0,l=0,m=0,n=0;
    //scanf(""%d"",&a);
    scanf(""%lld"",&a);
    while(a--)
    {
        
        i=0;
        scanf(""%lld%lld"",&b,&c);
        i=b-c;
        if(b%i==c%i && i>1)
         printf(""YES\n"");
         
        else
         printf(""NO\n"");
        
    }
    return 0;
}",A - Prime Subtraction,GNU C11,OK,1238
82709999,Irteja,"#include<stdio.h>


#include<string.h>
int main()
{
    long long int ch[100000];
    char arr[1000000];
    char kh[1000000],bh,ag;
    int cp[400];
    long long int a=0,b,c,d,e=0,g,i=0,tep=0,temp=0,j=0,k=0,l=0,m=0,n=0;
    //scanf(""%d"",&a);
    scanf(""%lld"",&a);
    while(a--)
    {
        
        
        scanf(""%lld%lld"",&b,&c);
        if((b-c)%2==0 || (b-c)%3==0)
         printf(""YES\n"");
         
        else
         printf(""NO\n"");
        
    }
    return 0;
}",A - Prime Subtraction,GNU C11,WRONG_ANSWER,1238
82682348,Suman_Mandol,"#include<stdio.h>
int main()
{
    int t;
    scanf(""%d"",&t);
    long long x,y;
    while(t--)
    {
        scanf(""%lld%lld"",&x,&y);
        if(x-y<2)
            printf(""NO\n"");
        else
            printf(""YES\n"");
    }
    return 0;

}
",A - Prime Subtraction,GNU C11,OK,1238
82408386,thenewcoder25,"#include<stdio.h>
int main()
{int t,i;
scanf(""%d"",&t);
for(i=0;i<t;i++)
{ long long int x,y,j;
 scanf(""%lld %lld"",&x,&y);
if(x-y>=2)
printf(""Yes\n"");
else
printf(""No\n"");}

    
    return 0;
}",A - Prime Subtraction,GNU C11,OK,1238
82019279,nitinkumar1729,"#include<stdio.h>

int main()
{
    int t, m;
    scanf(""%d"",&t);
    m=t-1;
    int arr[t];
    while(t--)
    {
    long long x,y,diff;
    scanf(""%lld%lld"",&x,&y);
    diff=x-y;
    if(diff==1)
    arr[t]=0;
    else
    arr[t]=1;
    }
    for(int i=m;i>=0;i--)
    {
    if(arr[i]==0)
    printf(""%s\n"",""NO"");
    else
    printf(""%s\n"",""YES"");
    }
    return 0;
}",A - Prime Subtraction,GNU C11,OK,1238
